StudyID,Species,Taxon.group,Endo.Ecto,Lat.Decimal.Degrees,Trait.Name,Fitness.Measure.Defined,N,linear.coefs,linear.coefs.se,grad.diff,elevation,abs.Lat
15,Parus caeruleus,V,Endo,42.5667,chick tarsus length,survival (recruitment to the breeding population),34,-1.426510584,0.60238109,grad,29,42.5667
79,Phasianus colchicus,V,Endo,55.7232,weight,female survival,30,-0.8,NA,grad,17,55.7232
73,Lacerta agilis,V,Ecto,57.3947,Female mass,Survival rate of offspring (proportion),23,-0.759,0.472,grad,5,57.3947
15,Parus caeruleus,V,Endo,42.55,chick tarsus length,survival (recruitment to the breeding population),87,-0.704837692,0.51898546,grad,593,42.55
73,Lacerta agilis,V,Ecto,57.3947,Female mass,Survival rate of offspring (absolute recruitment),23,-0.595,0.454,grad,5,57.3947
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,wing length,survival,172,-0.535,NA,grad,-17,23.4333
15,Parus caeruleus,V,Endo,42.5667,chick weight,survival (recruitment to the breeding population),108,-0.496708399,1.21816711,grad,29,42.5667
79,Phasianus colchicus,V,Endo,55.7232,weight,female survival,31,-0.43,NA,grad,17,55.7232
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,35,-0.41,NA,grad,8,25.745
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,58,-0.4,NA,grad,8,25.745
79,Phasianus colchicus,V,Endo,55.7232,weight,female survival,54,-0.4,NA,grad,17,55.7232
61,Negaprion brevirostris,V,Ecto,25.745,condition factor,survival,35,-0.359595,NA,grad,8,25.745
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,70,-0.35,NA,grad,8,25.745
61,Negaprion brevirostris,V,Ecto,25.745,growth,survival,58,-0.35,NA,grad,8,25.745
15,Parus caeruleus,V,Endo,42.5667,chick weight,survival (recruitment to the breeding population),163,-0.348872989,0.36895598,grad,29,42.5667
15,Parus caeruleus,V,Endo,43.6667,chick tarsus length,survival (recruitment to the breeding population),136,-0.332686522,0.39567515,grad,232,43.6667
61,Negaprion brevirostris,V,Ecto,25.745,growth,survival,35,-0.33,NA,grad,8,25.745
132,Anolis sagrei,V,Ecto,23.4833,hindlimb X forlimb length,survival,171,-0.32,0.15,grad,-1,23.4833
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tail,survival,NA,-0.32,0.2,grad,-17,23.4333
11,Calopteryx splendens,I,Ecto,55.7,Hindwing length,"Minimum lifespan in field (a measure of survival), H_je «_Å population",453,-0.294091,NA,grad,10,55.7
75,Salmo salar,V,Ecto,42.4167,body length (immature + mature fish),Age-2 winter survival,242,-0.28,NA,grad,124,42.4167
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,41,-0.27,NA,grad,8,25.745
75,Salmo salar,V,Ecto,42.4167,body length (immature fish),Age-2 winter survival,173,-0.27,NA,grad,124,42.4167
15,Parus caeruleus,V,Endo,42.5667,chick tarsus length,survival (recruitment to the breeding population),241,-0.261218811,0.3534121,grad,29,42.5667
61,Negaprion brevirostris,V,Ecto,25.745,growth,survival,70,-0.26,NA,grad,8,25.745
67,Ovis aries,V,Endo,57.814,body weight -  adult males,survival,33,-0.253,0.22,grad,121,57.814
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,34,-0.250416,NA,grad,8,25.745
79,Phasianus colchicus,V,Endo,55.7232,wing length,male survival,29,-0.25,NA,grad,17,55.7232
79,Phasianus colchicus,V,Endo,55.7232,wing length,male survival,32,-0.24,NA,grad,17,55.7232
15,Parus caeruleus,V,Endo,42.5667,chick tarsus length,survival (recruitment to the breeding population),63,-0.234928705,0.50760675,grad,29,42.5667
11,Calopteryx splendens,I,Ecto,55.6333,Hindwing width,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",486,-0.226834,NA,grad,33,55.6333
15,Parus caeruleus,V,Endo,42.55,chick tarsus length,survival (recruitment to the breeding population),145,-0.226011228,0.25188037,grad,593,42.55
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,71,-0.220991,NA,grad,8,25.745
73,Lacerta agilis,V,Ecto,57.3947,Female condition,Survival rate of offspring (proportion),19,-0.22,0.378,grad,5,57.3947
11,Calopteryx splendens,I,Ecto,55.6333,Mass,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",374,-0.218969,NA,grad,33,55.6333
150,Chrysemys picta,V,Ecto,41.9586,Egg mass,clutch survival,36,-0.218,0.238,grad,184,41.9586
119,Aquarius remigis,I,Ecto,45.5167,thorax length,longevity,50,-0.21,NA,grad,31,45.5167
11,Calopteryx splendens,I,Ecto,55.6333,Hindwing length,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",374,-0.202437,NA,grad,33,55.6333
75,Salmo salar,V,Ecto,42.4167,body length (immature + mature fish),Age-2 winter survival,191,-0.2,NA,grad,124,42.4167
37,Stegastes partitus,V,Ecto,23.7903,Relative growth rate (Dk),Longevity,89,-0.198,0.052,grad,-30,23.7903
67,Ovis aries,V,Endo,57.814,hindlimb length - adult males,survival,9,-0.189,0.219,grad,121,57.814
37,Stegastes partitus,V,Ecto,23.7179,Relative growth rate (Dk),Longevity,32,-0.187,0.125,grad,-2,23.7179
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tarsus length,survival,223,-0.185,NA,grad,-17,23.4333
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,42,-0.18,NA,grad,8,25.745
75,Salmo salar,V,Ecto,42.4167,condition factor (immature fish),Age-1 summer survival,174,-0.18,NA,grad,124,42.4167
119,Aquarius remigis,I,Ecto,45.5167,abdomen length,longevity,60,-0.179,NA,grad,31,45.5167
11,Calopteryx splendens,I,Ecto,55.6333,Hindwing width,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",785,-0.175656,NA,grad,33,55.6333
11,Calopteryx splendens,I,Ecto,55.6333,Thorax length,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",486,-0.172754,NA,grad,33,55.6333
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culmen depth,survival,172,-0.171,NA,grad,-17,23.4333
61,Negaprion brevirostris,V,Ecto,25.745,condition factor,survival,66,-0.17,NA,grad,8,25.745
150,Chrysemys picta,V,Ecto,41.9586,Egg mass,clutch survival,24,-0.166,0.473,grad,184,41.9586
37,Stegastes partitus,V,Ecto,23.6725,Relative growth rate (Dk),Longevity,87,-0.166,0.055,grad,0,23.6725
11,Calopteryx splendens,I,Ecto,55.6333,Total length,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",374,-0.165706,NA,grad,33,55.6333
67,Ovis aries,V,Endo,57.814,body weight - juveniles,survival,36,-0.163,0.071,grad,121,57.814
61,Negaprion brevirostris,V,Ecto,25.745,condition factor,survival,42,-0.16,NA,grad,8,25.745
61,Negaprion brevirostris,V,Ecto,25.745,growth,survival,51,-0.16,NA,grad,8,25.745
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tarsus,survival,NA,-0.16,0.07,grad,-17,23.4333
74,Oncorhynchus nerka,V,Ecto,59.3217,body length,Male survival,131,-0.157,0.031,grad,19,59.3217
79,Phasianus colchicus,V,Endo,55.7232,wing length,female survival,30,-0.15,NA,grad,17,55.7232
11,Calopteryx splendens,I,Ecto,55.6333,Total length,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",486,-0.141968,NA,grad,33,55.6333
79,Phasianus colchicus,V,Endo,55.7232,wing length,female survival,31,-0.14,NA,grad,17,55.7232
75,Salmo salar,V,Ecto,42.4167,condition factor (immature fish),Age-2 winter survival,173,-0.14,NA,grad,124,42.4167
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,cull,survival,NA,-0.14,0.19,grad,-17,23.4333
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culd,survival,NA,-0.14,0.2,grad,-17,23.4333
15,Parus caeruleus,V,Endo,43.6667,chick tarsus length,survival (recruitment to the breeding population),205,-0.139206092,0.29398202,grad,232,43.6667
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tarsus length,survival,172,-0.136,NA,grad,-17,23.4333
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tarsus length,survival,170,-0.135,NA,grad,-17,23.4333
11,Calopteryx splendens,I,Ecto,55.7,Mass,"Minimum lifespan in field (a measure of survival), H_je «_Å population",992,-0.133509,NA,grad,10,55.7
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tail length,survival,170,-0.131,NA,grad,-17,23.4333
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,35,-0.130385,NA,grad,8,25.745
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,97,-0.13,NA,grad,8,25.745
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,34,-0.12680955,NA,grad,8,25.745
61,Negaprion brevirostris,V,Ecto,25.745,condition factor,survival,80,-0.124224,NA,grad,8,25.745
158,Parus major,V,Endo,51.641,adult body mass,survival to the next breeding season,75,-0.124,0.057,grad,10,51.641
158,Parus major,V,Endo,53.2833,tarsus length,survival to the next breeding season,85,-0.124,0.052,grad,-2,53.2833
144,Carpodacus mexicanus,V,Endo,46.8607,Beak width,juvenile survival,339,-0.121,NA,grad,971,46.8607
75,Salmo salar,V,Ecto,42.4167,body length (immature fish),Age-2 winter survival,96,-0.12,NA,grad,124,42.4167
79,Phasianus colchicus,V,Endo,55.7232,tarsus length,male survival,29,-0.12,NA,grad,17,55.7232
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culw,survival,NA,-0.12,0.07,grad,-17,23.4333
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,66,-0.11748,NA,grad,8,25.745
11,Calopteryx splendens,I,Ecto,55.7,Forewing width,"Minimum lifespan in field (a measure of survival), H_je «_Å population",992,-0.116828,NA,grad,10,55.7
51,Poecilia reticulata,V,Ecto,10.4606,Body Size,survival,NA,-0.11,NA,grad,88,10.4606
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,cull,survival,NA,-0.11,0.1,grad,-17,23.4333
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tarsus,survival,NA,-0.11,0.05,grad,-17,23.4333
37,Stegastes partitus,V,Ecto,23.7179,Asymptotic body size (Tlmax),Longevity,32,-0.107,0.085,grad,-2,23.7179
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Depth,juvenile survival,524,-0.103,NA,grad,971,46.8607
11,Calopteryx splendens,I,Ecto,55.6333,Thorax width,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",486,-0.101922,NA,grad,33,55.6333
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,wing,survival,NA,-0.1,0.1,grad,-17,23.4333
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culd,survival,NA,-0.1,0.1,grad,-17,23.4333
61,Negaprion brevirostris,V,Ecto,25.745,growth,survival,35,-0.098268,NA,grad,8,25.745
158,Parus major,V,Endo,53.2833,adult body mass,survival to the next breeding season,67,-0.098,0.061,grad,-2,53.2833
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,63,-0.0975744,NA,grad,8,25.745
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,51,-0.097,0.068,grad,10,51.641
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,51,-0.095,NA,grad,8,25.745
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culmen length,survival,170,-0.092,NA,grad,-17,23.4333
75,Salmo salar,V,Ecto,42.4167,growth (immature + mature fish),Age-1 winter survival,210,-0.09,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,growth (immature + mature fish),Age-2 winter survival,115,-0.09,NA,grad,124,42.4167
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tarsus,survival,NA,-0.09,0.17,grad,-17,23.4333
15,Parus caeruleus,V,Endo,42.55,chick weight,survival (recruitment to the breeding population),133,-0.089037598,0.22842674,grad,593,42.55
73,Lacerta agilis,V,Ecto,57.3947,Female condition,Survival rate of offspring (absolute recruitment),19,-0.089,0.509,grad,5,57.3947
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Depth,juvenile survival,474,-0.088,NA,grad,971,46.8607
15,Parus caeruleus,V,Endo,43.6667,chick tarsus length,survival (recruitment to the breeding population),372,-0.085820888,0.20407324,grad,232,43.6667
11,Calopteryx splendens,I,Ecto,55.7,Total length,"Minimum lifespan in field (a measure of survival), H_je «_Å population",453,-0.084062,NA,grad,10,55.7
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,76,-0.082,0.054,grad,10,51.641
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culmen depth,survival,223,-0.081,NA,grad,-17,23.4333
51,Poecilia reticulata,V,Ecto,10.4606,Body Size,survival,NA,-0.08,NA,grad,88,10.4606
75,Salmo salar,V,Ecto,42.4167,body length (immature fish),Age-2 winter survival,121,-0.08,NA,grad,124,42.4167
79,Phasianus colchicus,V,Endo,55.7232,bill depth,female survival,30,-0.08,NA,grad,17,55.7232
75,Salmo salar,V,Ecto,42.4167,growth (immature + mature fish),Age-2 winter survival,153,-0.08,NA,grad,124,42.4167
75,Salmo salar,V,Ecto,42.4167,condition factor (immature fish),Age-1 summer survival,374,-0.08,NA,grad,124,42.4167
11,Calopteryx splendens,I,Ecto,55.7,Forewing width,"Minimum lifespan in field (a measure of survival), H_je «_Å population",453,-0.07982,NA,grad,10,55.7
74,Oncorhynchus nerka,V,Ecto,59.3217,body depth,Male survival,131,-0.079,0.031,grad,19,59.3217
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Length,juvenile survival,414,-0.079,NA,grad,971,46.8607
11,Calopteryx splendens,I,Ecto,55.7,Thorax length,"Minimum lifespan in field (a measure of survival), H_je «_Å population",453,-0.077781,NA,grad,10,55.7
158,Parus major,V,Endo,51.641,adult body mass,survival to the next breeding season,61,-0.075,0.064,grad,10,51.641
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,105,-0.075,0.048,grad,10,51.641
15,Parus caeruleus,V,Endo,42.55,chick weight,survival (recruitment to the breeding population),243,-0.074139966,0.16146162,grad,593,42.55
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Depth,juvenile survival,463,-0.073,NA,grad,971,46.8607
144,Carpodacus mexicanus,V,Endo,46.8607,Beak Length,juvenile survival,435,-0.071,NA,grad,971,46.8607
132,Anolis sagrei,V,Ecto,23.4833,Snout-vent length,survival,171,-0.07,0.15,grad,-1,23.4833
144,Carpodacus mexicanus,V,Endo,46.8607,Beak width,juvenile survival,664,-0.07,NA,grad,971,46.8607
67,Ovis aries,V,Endo,57.814,hindlimb length - adult males,survival,27,-0.07,0.183,grad,121,57.814
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,cull,survival,NA,-0.07,0.09,grad,-17,23.4333
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culmen width,survival,170,-0.065,NA,grad,-17,23.4333
15,Parus caeruleus,V,Endo,43.6667,chick tarsus length,survival (recruitment to the breeding population),228,-0.064015778,0.34653102,grad,232,43.6667
158,Parus major,V,Endo,53.2833,tarsus length,survival to the next breeding season,96,-0.062,0.051,grad,-2,53.2833
158,Parus major,V,Endo,53.2833,tarsus length,survival to the next breeding season,132,-0.062,0.043,grad,-2,53.2833
61,Negaprion brevirostris,V,Ecto,25.745,condition factor,survival,66,-0.0610896,NA,grad,8,25.745
75,Salmo salar,V,Ecto,42.4167,body length (immature + mature fish),Age-2 winter survival,174,-0.06,NA,grad,124,42.4167
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,80,-0.06,0.056,grad,10,51.641
75,Salmo salar,V,Ecto,42.4167,growth (immature fish),Age-1 summer survival,189,-0.06,NA,grad,124,42.4167
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,wing,survival,NA,-0.06,0.06,grad,-17,23.4333
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,tail,survival,NA,-0.06,0.05,grad,-17,23.4333
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culd,survival,NA,-0.06,0.06,grad,-17,23.4333
112,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,wing,survival,NA,-0.06,0.07,grad,-17,23.4333
15,Parus caeruleus,V,Endo,42.5667,chick weight,survival (recruitment to the breeding population),96,-0.059088467,0.55765381,grad,29,42.5667
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,62,-0.059,0.064,grad,10,51.641
158,Parus major,V,Endo,52.0833,tarsus length,survival to the next breeding season,179,-0.059,0.037,grad,39,52.0833
61,Negaprion brevirostris,V,Ecto,25.745,condition factor,survival,82,-0.057,NA,grad,8,25.745
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,38,-0.055,0.082,grad,10,51.641
15,Parus caeruleus,V,Endo,42.5667,chick tarsus length,survival (recruitment to the breeding population),180,-0.054535617,0.7900313,grad,29,42.5667
15,Parus caeruleus,V,Endo,43.6667,chick tarsus length,survival (recruitment to the breeding population),362,-0.052506671,0.16025482,grad,232,43.6667
73,Lacerta agilis,V,Ecto,57.3947,Female mass,Survival rate of offspring (absolute recruitment),19,-0.052,0.831,grad,5,57.3947
67,Ovis aries,V,Endo,57.814,hindlimb length - adult females,survival,48,-0.052,0.054,grad,121,57.814
158,Parus major,V,Endo,51.641,tarsus length,survival to the next breeding season,60,-0.052,0.06,grad,10,51.641
158,Parus major,V,Endo,52.0833,tarsus length,survival to the next breeding season,169,-0.052,0.038,grad,39,52.0833
11,Calopteryx splendens,I,Ecto,55.6333,Hindwing length,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",486,-0.051454,NA,grad,33,55.6333
67,Ovis aries,V,Endo,57.814,hindlimb length - adult males,survival,36,-0.051,0.061,grad,121,57.814
101,Zosterops lateralis chlorocephalus,V,Endo,-23.4333,culmen width,survival,223,-0.051,NA,grad,-17,23.4333
11,Calopteryx splendens,I,Ecto,55.6333,Forewing length,"Minimum lifespan in field (a measure of survival), Klingav_ls_n population",785,-0.050664,NA,grad,33,55.6333
61,Negaprion brevirostris,V,Ecto,25.745,body length,survival,80,-0.0502072,NA,grad,8,25.745
