"StudyID","Species","Taxon.group","Endo.Ecto","Trait.Name","Fitness.Measure.Defined","linear.coefs","linear.coefs.se","grad.diff","elevation","abs.Lat","Genus","family","order","class"
15,"Parus caeruleus","V","Endo","chick tarsus length","survival (recruitment to the breeding population)",-1.426510584,0.60238109,"grad",29,42.5667,"Parus","Paridae","Passeriformes","Ave"
79,"Phasianus colchicus","V","Endo","weight","female survival",-0.8,NA,"grad",17,55.7232,"Phasianus","Phasianidae","Galliformes","Ave"
73,"Lacerta agilis","V","Ecto","Female mass","Survival rate of offspring (proportion)",-0.759,0.472,"grad",5,57.3947,"Lacerta","Laceratidae","Squamata","Reptilia"
15,"Parus caeruleus","V","Endo","chick tarsus length","survival (recruitment to the breeding population)",-0.704837692,0.51898546,"grad",593,42.55,"Parus","Paridae","Passeriformes","Ave"
73,"Lacerta agilis","V","Ecto","Female mass","Survival rate of offspring (absolute recruitment)",-0.595,0.454,"grad",5,57.3947,"Lacerta","Laceratidae","Squamata","Reptilia"
101,"Zosterops lateralis chlorocephalus","V","Endo","wing length","survival",-0.535,NA,"grad",-17,23.4333,"Zosterops","Zosteropidae","Passeriformes","Ave"
15,"Parus caeruleus","V","Endo","chick weight","survival (recruitment to the breeding population)",-0.496708399,1.21816711,"grad",29,42.5667,"Parus","Paridae","Passeriformes","Ave"
79,"Phasianus colchicus","V","Endo","weight","female survival",-0.43,NA,"grad",17,55.7232,"Phasianus","Phasianidae","Galliformes","Ave"
61,"Negaprion brevirostris","V","Ecto","body length","survival",-0.41,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
61,"Negaprion brevirostris","V","Ecto","body length","survival",-0.4,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
79,"Phasianus colchicus","V","Endo","weight","female survival",-0.4,NA,"grad",17,55.7232,"Phasianus","Phasianidae","Galliformes","Ave"
61,"Negaprion brevirostris","V","Ecto","condition factor","survival",-0.359595,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
61,"Negaprion brevirostris","V","Ecto","body length","survival",-0.35,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
61,"Negaprion brevirostris","V","Ecto","growth","survival",-0.35,NA,"grad",8,25.745,"Negaprion","Carcharhinidae","Elasmobranchii","Chondrichthyes"
15,"Parus caeruleus","V","Endo","chick weight","survival (recruitment to the breeding population)",-0.348872989,0.36895598,"grad",29,42.5667,"Parus","Paridae","Passeriformes","Ave"
15,"Parus caeruleus","V","Endo","chick tarsus length","survival (recruitment to the breeding population)",-0.332686522,0.39567515,"grad",232,43.6667,"Parus","Paridae","Passeriformes","Ave"
